CREATE TABLE Transaction_analysis (
  `Transaction_ID` INTEGER,
  `Date` DATETIME,
  `Customer_ID` INTEGER,
  `State` VARCHAR(2),
  `Amount` INTEGER,
  `Review_Flags` VARCHAR(4)
);

INSERT INTO Transaction_analysis
  (`Transaction_ID`, `Date`, `Customer_ID`, `State`, `Amount`, `Review_Flags`)
VALUES
  ('154', '2026-03-02', '14', 'NC', '1109', 'Flag'),
  ('192', '2026-04-28', '20', 'SC', '1268', 'Flag'),
  ('165', '2026-04-29', '17', 'NC', '685', 'Good'),
  ('267', '2026-04-30', '12', 'SC', '263', 'Good'),
  ('245', '2026-05-01', '19', 'NC', '674', 'Good'),
  ('181', '2026-05-04', '15', 'SC', '138', 'Good'),
  ('138', '2026-05-05', '15', 'NC', '181', 'Good'),
  ('243', '2026-05-06', '11', 'SC', '141', 'Good'),
  ('189', '2026-05-07', '5', 'NC', '506', 'Good'),
  ('160', '2026-05-08', '15', 'SC', '662', 'Good'),
  ('236', '2026-05-11', '10', 'NC', '239', 'Good'),
  ('297', '2026-05-12', '2', 'SC', '555', 'Good'),
  ('276', '2026-05-13', '22', 'NC', '525', 'Good'),
  ('265', '2026-05-14', '25', 'SC', '977', 'Good'),
  ('232', '2026-05-15', '15', 'NC', '555', 'Good'),
  ('138', '2026-05-18', '8', 'SC', '463', 'Good'),
  ('186', '2026-05-19', '20', 'NC', '600', 'Good'),
  ('194', '2026-05-20', '27', 'SC', '1467', 'Flag'),
  ('236', '2026-05-21', '19', 'NC', '1321', 'Flag'),
  ('225', '2026-05-22', '1', 'SC', '1047', 'Flag'),
  ('193', '2026-05-25', '25', 'NC', '1145', 'Flag'),
  ('153', '2026-05-26', '30', 'SC', '1246', 'Flag'),
  ('295', '2026-05-27', '25', 'NC', '722', 'Good'),
  ('206', '2026-05-28', '17', 'SC', '351', 'Good'),
  ('259', '2026-05-29', '20', 'NC', '1134', 'Flag'),
  ('298', '2026-06-01', '24', 'SC', '821', 'Good'),
  ('258', '2026-06-02', '7', 'NC', '1183', 'Flag'),
  ('142', '2026-06-03', '11', 'SC', '321', 'Good'),
  ('247', '2026-06-04', '14', 'NC', '258', 'Good'),
  ('267', '2026-06-05', '10', 'SC', '519', 'Good'),
  ('161', '2026-06-08', '12', 'NC', '160', 'Good'),
  ('283', '2026-06-09', '8', 'SC', '1367', 'Flag'),
  ('200', '2026-06-10', '23', 'NC', '429', 'Good'),
  ('242', '2026-06-11', '28', 'SC', '1222', 'Flag'),
  ('237', '2026-06-12', '28', 'NC', '1154', 'Flag'),
  ('159', '2026-06-15', '3', 'SC', '567', 'Good'),
  ('262', '2026-06-16', '3', 'NC', '978', 'Good'),
  ('242', '2026-06-17', '8', 'SC', '1136', 'Flag'),
  ('280', '2026-06-18', '4', 'NC', '1100', 'Flag'),
  ('263', '2026-06-19', '7', 'SC', '1172', 'Flag'),
  ('187', '2026-06-22', '26', 'NC', '1384', 'Flag'),
  ('260', '2026-06-23', '26', 'SC', '247', 'Good'),
  ('275', '2026-06-24', '1', 'NC', '723', 'Good'),
  ('253', '2026-06-25', '16', 'SC', '1336', 'Flag'),
  ('172', '2026-06-26', '28', 'NC', '580', 'Good'),
  ('155', '2026-06-29', '1', 'SC', '144', 'Good'),
  ('189', '2026-06-30', '10', 'NC', '966', 'Good'),
  ('194', '2026-07-01', '14', 'SC', '1230', 'Flag'),
  ('152', '2026-07-02', '3', 'NC', '1331', 'Flag'),
  ('138', '2026-07-03', '5', 'SC', '1184', 'Flag'),
  ('265', '2026-07-06', '5', 'NC', '241', 'Good'),
  ('140', '2026-07-07', '29', 'SC', '680', 'Good'),
  ('222', '2026-07-08', '20', 'NC', '1313', 'Flag'),
  ('230', '2026-07-09', '29', 'SC', '407', 'Good'),
  ('278', '2026-07-10', '6', 'NC', '915', 'Good'),
  ('177', '2026-07-13', '19', 'SC', '271', 'Good'),
  ('269', '2026-07-14', '20', 'NC', '480', 'Good'),
  ('262', '2026-07-15', '22', 'SC', '850', 'Good'),
  ('144', '2026-07-16', '21', 'NC', '123', 'Good'),
  ('172', '2026-07-17', '22', 'SC', '813', 'Good'),
  ('205', '2026-07-20', '1', 'NC', '1097', 'Flag'),
  ('192', '2026-07-21', '19', 'SC', '618', 'Good'),
  ('143', '2026-07-22', '19', 'NC', '334', 'Good'),
  ('164', '2026-07-23', '22', 'SC', '363', 'Good'),
  ('151', '2026-07-24', '30', 'NC', '1288', 'Flag'),
  ('188', '2026-07-27', '20', 'SC', '1266', 'Flag'),
  ('277', '2026-07-28', '23', 'NC', '1439', 'Flag'),
  ('178', '2026-07-29', '14', 'SC', '1274', 'Flag'),
  ('200', '2026-07-30', '22', 'NC', '388', 'Good'),
  ('199', '2026-07-31', '25', 'SC', '1099', 'Flag'),
  ('165', '2026-08-03', '3', 'NC', '1461', 'Flag'),
  ('125', '2026-08-04', '5', 'SC', '1222', 'Flag'),
  ('231', '2026-08-05', '6', 'NC', '862', 'Good'),
  ('291', '2026-08-06', '25', 'SC', '183', 'Good'),
  ('131', '2026-08-07', '9', 'NC', '723', 'Good'),
  ('225', '2026-08-10', '10', 'SC', '895', 'Good'),
  ('230', '2026-08-11', '14', 'NC', '1052', 'Flag'),
  ('202', '2026-08-12', '9', 'SC', '801', 'Good'),
  ('194', '2026-08-13', '28', 'NC', '679', 'Good'),
  ('276', '2026-08-14', '5', 'SC', '1244', 'Flag'),
  ('145', '2026-08-17', '8', 'NC', '507', 'Good'),
  ('189', '2026-08-18', '3', 'SC', '841', 'Good'),
  ('198', '2026-08-19', '30', 'NC', '895', 'Good'),
  ('125', '2026-08-20', '10', 'SC', '1307', 'Flag'),
  ('282', '2026-08-21', '14', 'NC', '1276', 'Flag'),
  ('157', '2026-08-24', '22', 'SC', '581', 'Good'),
  ('239', '2026-08-25', '21', 'NC', '533', 'Good'),
  ('290', '2026-08-26', '1', 'SC', '596', 'Good'),
  ('291', '2026-08-27', '29', 'NC', '181', 'Good'),
  ('163', '2026-08-28', '25', 'SC', '759', 'Good'),
  ('141', '2026-08-31', '28', 'NC', '903', 'Good'),
  ('142', '2026-09-01', '17', 'SC', '1272', 'Flag'),
  ('125', '2026-09-02', '29', 'NC', '596', 'Good'),
  ('279', '2026-09-03', '11', 'SC', '227', 'Good'),
  ('185', '2026-09-04', '15', 'NC', '554', 'Good'),
  ('181', '2026-09-07', '20', 'SC', '1101', 'Flag'),
  ('148', '2026-09-08', '2', 'NC', '411', 'Good'),
  ('125', '2026-09-09', '9', 'SC', '942', 'Good'),
  ('184', '2026-09-10', '15', 'NC', '1077', 'Flag'),
  ('248', '2026-09-11', '21', 'SC', '1375', 'Flag'),
  ('266', '2026-09-14', '16', 'NC', '425', 'Good'),
  ('127', '2026-09-15', '15', 'SC', '345', 'Good'),
  ('286', '2026-09-16', '2', 'NC', '600', 'Good'),
  ('254', '2026-09-17', '22', 'SC', '1104', 'Flag'),
  ('273', '2026-09-18', '24', 'NC', '1349', 'Flag'),
  ('256', '2026-09-21', '6', 'SC', '172', 'Good'),
  ('206', '2026-09-22', '25', 'NC', '268', 'Good'),
  ('300', '2026-09-23', '11', 'SC', '1039', 'Flag'),
  ('179', '2026-09-24', '23', 'NC', '1290', 'Flag'),
  ('270', '2026-09-25', '26', 'SC', '611', 'Good'),
  ('151', '2026-09-28', '13', 'NC', '1109', 'Flag'),
  ('197', '2026-09-29', '10', 'SC', '563', 'Good'),
  ('250', '2026-09-30', '28', 'NC', '740', 'Good'),
  ('250', '2026-10-01', '15', 'SC', '530', 'Good'),
  ('189', '2026-10-02', '7', 'NC', '449', 'Good'),
  ('294', '2026-10-05', '18', 'SC', '707', 'Good'),
  ('147', '2026-10-06', '11', 'NC', '566', 'Good'),
  ('172', '2026-10-07', '12', 'SC', '1132', 'Flag'),
  ('241', '2026-10-08', '19', 'NC', '963', 'Good'),
  ('220', '2026-10-09', '1', 'SC', '815', 'Good'),
  ('227', '2026-10-12', '18', 'NC', '1123', 'Flag'),
  ('237', '2026-10-13', '7', 'SC', '1003', 'Flag'),
  ('171', '2026-10-14', '27', 'NC', '769', 'Good'),
  ('241', '2026-10-15', '19', 'SC', '248', 'Good'),
  ('221', '2026-10-16', '15', 'NC', '1403', 'Flag'),
  ('225', '2026-10-19', '20', 'SC', '679', 'Good'),
  ('165', '2026-10-20', '12', 'NC', '694', 'Good'),
  ('220', '2026-10-21', '4', 'SC', '989', 'Good'),
  ('187', '2026-10-22', '27', 'NC', '200', 'Good'),
  ('277', '2026-10-23', '6', 'SC', '940', 'Good'),
  ('277', '2026-10-26', '18', 'NC', '577', 'Good'),
  ('250', '2026-10-27', '7', 'SC', '1182', 'Flag'),
  ('267', '2026-10-28', '12', 'NC', '776', 'Good'),
  ('138', '2026-10-29', '20', 'SC', '1141', 'Flag'),
  ('266', '2026-10-30', '11', 'NC', '819', 'Good'),
  ('220', '2026-11-02', '27', 'SC', '416', 'Good'),
  ('194', '2026-11-03', '29', 'NC', '763', 'Good'),
  ('129', '2026-11-04', '4', 'SC', '1133', 'Flag'),
  ('236', '2026-11-05', '14', 'NC', '1185', 'Flag'),
  ('198', '2026-11-06', '26', 'SC', '814', 'Good'),
  ('187', '2026-11-09', '30', 'NC', '111', 'Good'),
  ('131', '2026-11-10', '14', 'SC', '508', 'Good'),
  ('237', '2026-11-11', '17', 'NC', '1285', 'Flag'),
  ('161', '2026-11-12', '9', 'SC', '1339', 'Flag'),
  ('286', '2026-11-13', '9', 'NC', '1142', 'Flag'),
  ('188', '2026-11-16', '28', 'SC', '655', 'Good'),
  ('252', '2026-11-17', '12', 'NC', '266', 'Good'),
  ('135', '2026-11-18', '19', 'SC', '1050', 'Flag'),
  ('213', '2026-11-19', '10', 'NC', '129', 'Good'),
  ('299', '2026-11-20', '5', 'SC', '980', 'Good'),
  ('201', '2026-11-23', '5', 'NC', '1473', 'Flag'),
  ('140', '2026-11-24', '8', 'SC', '1297', 'Flag'),
  ('148', '2026-11-25', '2', 'NC', '1141', 'Flag'),
  ('188', '2026-11-26', '3', 'SC', '878', 'Good'),
  ('266', '2026-11-27', '23', 'NC', '860', 'Good'),
  ('235', '2026-11-30', '21', 'SC', '214', 'Good'),
  ('133', '2026-12-01', '20', 'NC', '1463', 'Flag'),
  ('276', '2026-12-02', '11', 'SC', '411', 'Good'),
  ('166', '2026-12-03', '5', 'NC', '804', 'Good'),
  ('171', '2026-12-04', '2', 'SC', '539', 'Good'),
  ('297', '2026-12-07', '5', 'NC', '658', 'Good'),
  ('165', '2026-12-08', '25', 'SC', '381', 'Good'),
  ('151', '2026-12-09', '2', 'NC', '1471', 'Flag'),
  ('181', '2026-12-10', '27', 'SC', '835', 'Good'),
  ('299', '2026-12-11', '17', 'NC', '1220', 'Flag'),
  ('221', '2026-12-14', '15', 'SC', '144', 'Good'),
  ('299', '2026-12-15', '21', 'NC', '542', 'Good'),
  ('207', '2026-12-16', '25', 'SC', '957', 'Good'),
  ('181', '2026-12-17', '16', 'NC', '684', 'Good'),
  ('292', '2026-12-18', '4', 'SC', '571', 'Good'),
  ('136', '2026-12-21', '27', 'NC', '265', 'Good'),
  ('211', '2026-12-22', '29', 'SC', '1217', 'Flag'),
  ('290', '2026-12-23', '12', 'NC', '734', 'Good'),
  ('272', '2026-12-24', '29', 'SC', '665', 'Good'),
  ('147', '2026-12-25', '12', 'NC', '217', 'Good'),
  ('242', '2026-12-28', '4', 'SC', '231', 'Good'),
  ('252', '2026-12-29', '12', 'NC', '292', 'Good'),
  ('270', '2026-12-30', '21', 'SC', '574', 'Good'),
  ('222', '2026-12-31', '14', 'NC', '497', 'Good'),
  ('278', '2027-01-01', '26', 'SC', '1388', 'Flag'),
  ('276', '2027-01-04', '14', 'NC', '557', 'Good'),
  ('132', '2027-01-05', '28', 'SC', '728', 'Good'),
  ('196', '2027-01-06', '28', 'NC', '667', 'Good'),
  ('257', '2027-01-07', '15', 'SC', '824', 'Good'),
  ('297', '2027-01-08', '18', 'NC', '1019', 'Flag'),
  ('132', '2027-01-11', '3', 'SC', '112', 'Good'),
  ('175', '2027-01-12', '7', 'NC', '1237', 'Flag'),
  ('262', '2027-01-13', '21', 'SC', '718', 'Good'),
  ('274', '2027-01-14', '23', 'NC', '531', 'Good'),
  ('165', '2027-01-15', '20', 'SC', '524', 'Good'),
  ('139', '2027-01-18', '7', 'NC', '425', 'Good'),
  ('185', '2027-01-19', '15', 'SC', '1467', 'Flag'),
  ('294', '2027-01-20', '27', 'NC', '582', 'Good'),
  ('190', '2027-01-21', '4', 'SC', '970', 'Good'),
  ('127', '2027-01-22', '24', 'NC', '1162', 'Flag'),
  ('149', '2027-01-25', '4', 'SC', '678', 'Good'),
  ('165', '2027-01-26', '18', 'NC', '1052', 'Flag'),
  ('222', '2027-01-27', '2', 'SC', '418', 'Good'),
  ('208', '2027-01-28', '4', 'NC', '837', 'Good'),
  ('152', '2027-01-29', '14', 'SC', '380', 'Good'),
  ('271', '2027-02-01', '11', 'NC', '824', 'Good'),
  ('243', '2027-02-02', '3', 'SC', '488', 'Good'),
  ('230', '2027-02-03', '10', 'NC', '1119', 'Flag'),
  ('185', '2027-02-04', '18', 'SC', '1495', 'Flag'),
  ('255', '2027-02-05', '5', 'NC', '1253', 'Flag'),
  ('155', '2027-02-08', '7', 'SC', '796', 'Good'),
  ('266', '2027-02-09', '27', 'NC', '185', 'Good'),
  ('252', '2027-02-10', '27', 'SC', '265', 'Good'),
  ('272', '2027-02-11', '24', 'NC', '658', 'Good'),
  ('203', '2027-02-12', '23', 'SC', '1323', 'Flag'),
  ('262', '2027-02-15', '27', 'NC', '178', 'Good'),
  ('278', '2027-02-16', '11', 'SC', '553', 'Good'),
  ('186', '2027-02-17', '7', 'NC', '183', 'Good'),
  ('127', '2027-02-18', '28', 'SC', '680', 'Good'),
  ('233', '2027-02-19', '30', 'NC', '817', 'Good'),
  ('185', '2027-02-22', '7', 'SC', '1047', 'Flag'),
  ('216', '2027-02-23', '28', 'NC', '1417', 'Flag'),
  ('211', '2027-02-24', '15', 'SC', '1251', 'Flag'),
  ('242', '2027-02-25', '7', 'NC', '899', 'Good'),
  ('227', '2027-02-26', '3', 'SC', '938', 'Good'),
  ('195', '2027-03-01', '12', 'NC', '1124', 'Flag'),
  ('287', '2027-03-02', '9', 'SC', '1150', 'Flag'),
  ('194', '2027-03-03', '6', 'NC', '606', 'Good'),
  ('227', '2027-03-04', '2', 'SC', '858', 'Good'),
  ('157', '2027-03-05', '17', 'NC', '873', 'Good'),
  ('158', '2027-03-08', '12', 'SC', '604', 'Good'),
  ('135', '2027-03-09', '17', 'NC', '827', 'Good'),
  ('204', '2027-03-10', '26', 'SC', '156', 'Good'),
  ('295', '2027-03-11', '20', 'NC', '854', 'Good'),
  ('294', '2027-03-12', '24', 'SC', '643', 'Good'),
  ('296', '2027-03-15', '3', 'NC', '1350', 'Flag'),
  ('147', '2027-03-16', '9', 'SC', '1473', 'Flag'),
  ('296', '2027-03-17', '20', 'NC', '1498', 'Flag'),
  ('287', '2027-03-18', '2', 'SC', '1398', 'Flag'),
  ('256', '2027-03-19', '17', 'NC', '1168', 'Flag'),
  ('139', '2027-03-22', '12', 'SC', '760', 'Good'),
  ('260', '2027-03-23', '4', 'NC', '915', 'Good'),
  ('228', '2027-03-24', '15', 'SC', '1120', 'Flag'),
  ('199', '2027-03-25', '7', 'NC', '428', 'Good'),
  ('244', '2027-03-26', '1', 'SC', '156', 'Good'),
  ('161', '2027-03-29', '8', 'NC', '1478', 'Flag'),
  ('183', '2027-03-30', '21', 'SC', '638', 'Good'),
  ('133', '2027-03-31', '24', 'NC', '384', 'Good'),
  ('148', '2027-04-01', '15', 'SC', '1316', 'Flag'),
  ('136', '2027-04-02', '18', 'NC', '1036', 'Flag'),
  ('165', '2027-04-05', '17', 'SC', '737', 'Good'),
  ('130', '2027-04-06', '28', 'NC', '1376', 'Flag'),
  ('167', '2027-04-07', '9', 'SC', '827', 'Good'),
  ('292', '2027-04-08', '6', 'NC', '355', 'Good'),
  ('220', '2027-04-09', '13', 'SC', '764', 'Good'),
  ('155', '2027-04-12', '8', 'NC', '1108', 'Flag'),
  ('212', '2027-04-13', '2', 'SC', '805', 'Good'),
  ('152', '2027-04-14', '13', 'NC', '359', 'Good'),
  ('275', '2027-04-15', '10', 'SC', '297', 'Good'),
  ('282', '2027-04-16', '30', 'NC', '1167', 'Flag'),
  ('236', '2027-04-19', '5', 'SC', '418', 'Good'),
  ('162', '2027-04-20', '17', 'NC', '759', 'Good'),
  ('212', '2027-04-21', '23', 'SC', '1489', 'Flag'),
  ('264', '2027-04-22', '16', 'NC', '1285', 'Flag');
